id,confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
13030,3,3,0,0,3,3,20200125,0,0,0,0
13031,3,0,0,0,3,0,20200126,0,0,0,0
13032,4,1,0,0,4,1,20200127,0,0,0,0
13033,5,1,0,0,5,1,20200128,0,0,0,0
13034,7,2,0,0,7,2,20200129,0,0,0,0
13035,7,0,0,0,7,0,20200130,0,0,0,0
13036,9,2,0,0,9,2,20200131,0,0,0,0
13037,12,3,0,0,12,3,20200201,0,0,0,0
13038,12,0,0,0,12,0,20200202,0,0,0,0
13039,12,0,0,0,12,0,20200203,0,0,0,0
13040,12,0,0,0,12,0,20200204,0,0,0,0
13041,13,1,0,0,13,1,20200205,0,0,0,0
13042,14,1,0,0,14,1,20200206,0,0,0,0
13043,15,1,0,0,15,1,20200207,0,0,0,0
13044,15,0,0,0,15,0,20200208,0,0,0,0
13045,15,0,0,0,15,0,20200209,0,0,0,0
13046,15,0,0,0,15,0,20200210,0,0,0,0
13047,15,0,0,0,15,0,20200211,0,0,0,0
13048,15,0,0,0,15,0,20200212,0,0,0,0
13049,15,0,0,0,15,0,20200213,0,0,0,0
13050,15,0,0,0,15,0,20200214,0,0,0,0
13051,15,0,0,0,15,0,20200215,0,0,0,0
13052,15,0,0,0,15,0,20200216,0,0,0,0
13053,15,0,0,0,15,0,20200217,0,0,0,0
13054,15,0,0,0,15,0,20200218,0,0,0,0
13055,15,0,0,0,15,0,20200219,0,0,0,0
13056,15,0,0,0,15,0,20200220,0,0,0,0
13057,17,2,0,0,17,2,20200221,0,0,0,0
13058,21,4,0,0,21,4,20200222,0,0,0,0
13059,22,1,0,0,22,1,20200223,0,0,0,0
13060,22,0,0,0,22,0,20200224,0,0,0,0
13061,22,0,0,0,22,0,20200225,0,0,0,0
13062,23,1,0,0,23,1,20200226,0,0,0,0
13063,23,0,0,0,23,0,20200227,0,0,0,0
13064,23,0,0,0,23,0,20200228,0,0,0,0
13065,24,1,0,0,24,1,20200229,0,0,0,0
13066,25,1,0,0,25,1,20200301,0,0,0,0
13067,27,2,0,0,26,1,20200302,1,1,0,0
13068,33,6,0,0,32,6,20200303,1,0,0,0
13069,43,10,0,0,42,10,20200304,1,0,0,0
13070,57,14,0,0,55,13,20200305,2,1,0,0
13071,57,0,0,0,55,0,20200306,2,0,0,0
13072,62,5,0,0,60,5,20200307,2,0,0,0
13073,74,12,0,0,71,11,20200308,3,1,0,0
13074,77,3,0,0,74,3,20200309,3,0,0,0
13075,92,15,0,0,89,15,20200310,3,0,0,0
13076,112,20,0,0,109,20,20200311,3,0,0,0
13077,122,10,0,0,119,10,20200312,3,0,0,0
13078,140,18,0,0,137,18,20200313,3,0,0,0
13079,197,57,0,0,194,57,20200314,3,0,0,0
13080,249,52,24,24,222,28,20200315,3,0,0,0
13081,298,49,27,3,266,44,20200316,5,2,0,0
13082,375,77,27,0,343,77,20200317,5,0,0,0
13083,414,39,27,0,382,39,20200318,5,0,0,0
13084,756,342,27,0,723,341,20200319,6,1,0,0
13085,877,121,27,0,843,120,20200320,7,1,0,0
13086,1051,174,27,0,1017,174,20200321,7,0,0,0
13087,1098,47,27,0,1064,47,20200322,7,0,0,0
13088,1709,611,27,0,1675,611,20200323,7,0,0,0
13089,2136,427,27,0,2101,426,20200324,8,1,0,0
13090,2317,181,27,0,2282,181,20200325,8,0,0,0
13091,2985,668,27,0,2946,664,20200326,12,4,0,0
13092,2985,0,119,92,2853,-93,20200327,13,1,0,0
13093,3635,650,119,0,3502,649,20200328,14,1,0,0
13094,4093,458,119,0,3958,456,20200329,16,2,0,0
13095,4245,152,119,0,4110,152,20200330,16,0,0,0
13096,4707,462,119,0,4568,458,20200331,20,4,0,0
13097,4976,269,119,0,4836,268,20200401,21,1,0,0
13098,5224,248,119,0,5080,244,20200402,25,4,0,0
13099,5454,230,119,0,5307,227,20200403,28,3,0,0
13100,5548,94,119,0,5399,92,20200404,30,2,0,0
13101,5687,139,119,0,5534,135,20200405,34,4,0,0
13102,5795,108,119,0,5631,97,20200406,45,11,0,0
13103,5844,49,119,0,5680,49,20200407,45,0,0,0
13104,6052,208,119,0,5883,203,20200408,50,5,0,0
13105,6152,100,119,0,5981,98,20200409,52,2,0,0
13106,6152,0,119,0,5981,0,20200410,52,0,0,0
13107,6292,140,119,0,6117,136,20200411,56,4,0,0
13108,6313,21,119,0,6135,18,20200412,59,3,0,0
13109,6359,46,119,0,6179,44,20200413,61,2,0,0
13110,6400,41,119,0,6220,41,20200414,61,0,0,0
13111,6416,16,119,0,6236,16,20200415,61,0,0,0
13112,6468,52,119,0,6286,50,20200416,63,2,0,0
13113,6468,0,119,0,6286,0,20200417,63,0,0,0
13114,6586,118,119,0,6398,112,20200418,69,6,0,0
13115,6586,0,119,0,6398,0,20200419,69,0,0,0
13116,6619,33,4258,4139,2290,-4108,20200420,71,2,0,0
13117,6647,28,4291,33,2282,-8,20200421,74,3,0,0
13118,6647,0,4291,0,2282,0,20200422,74,0,0,0
13119,6667,20,5095,804,1496,-786,20200423,76,2,0,0
13120,6667,0,5095,0,1496,0,20200424,76,0,0,0
13121,6695,28,5095,0,1521,25,20200425,79,3,0,0
13122,6711,16,5539,444,1089,-432,20200426,83,4,0,0
13123,6720,9,5539,0,1098,9,20200427,83,0,0,0
13124,6731,11,5600,61,1047,-51,20200428,84,1,0,0
13125,6738,7,5600,0,1050,3,20200429,88,4,0,0
13126,6746,8,5600,0,1056,6,20200430,90,2,0,0
13127,6767,21,5600,0,1074,18,20200501,93,3,0,0
13128,6767,0,5600,0,1074,0,20200502,93,0,0,0
13129,6801,34,5789,189,917,-157,20200503,95,2,0,0
13130,6801,0,5789,0,917,0,20200504,95,0,0,0
13131,6849,48,5789,0,964,47,20200505,96,1,0,0
13132,6875,26,5984,195,794,-170,20200506,97,1,0,0
13133,6896,21,6035,51,764,-30,20200507,97,0,0,0
13134,6914,18,6079,44,738,-26,20200508,97,0,0,0
13135,6929,15,6135,56,697,-41,20200509,97,0,0,0
13136,6929,0,6135,0,697,0,20200510,97,0,0,0
13137,6941,12,6163,28,681,-16,20200511,97,0,0,0
13138,6964,23,6229,66,638,-43,20200512,97,0,0,0
13139,6975,11,6271,42,606,-32,20200513,98,1,0,0
13140,6989,14,6301,30,590,-16,20200514,98,0,0,0
13141,6989,0,6301,0,590,0,20200515,98,0,0,0
13142,7036,47,6362,61,576,-14,20200516,98,0,0,0
13143,7045,9,6367,5,580,4,20200517,98,0,0,0
13144,7060,15,6389,22,572,-8,20200518,99,1,0,0
13145,7068,8,6411,22,558,-14,20200519,99,0,0,0
13146,7079,11,6444,33,535,-23,20200520,100,1,0,0
13147,7081,2,6472,28,509,-26,20200521,100,0,0,0
13148,7095,14,6479,7,515,6,20200522,101,1,0,0
13149,7106,11,6494,15,510,-5,20200523,102,1,0,0
13150,7109,3,6506,12,501,-9,20200524,102,0,0,0
13151,7118,9,6532,26,484,-17,20200525,102,0,0,0
13152,7133,15,6553,21,478,-6,20200526,102,0,0,0
13153,7139,6,6566,13,470,-8,20200527,103,1,0,0
13154,7150,11,6580,14,467,-3,20200528,103,0,0,0
13155,7173,23,6582,2,488,21,20200529,103,0,0,0
13156,7185,12,6606,24,476,-12,20200530,103,0,0,0
13157,7195,10,6606,0,486,10,20200531,103,0,0,0
13158,7204,9,6619,13,482,-4,20200601,103,0,0,0
13159,7221,17,6625,6,494,12,20200602,102,-1,0,0
13160,7229,8,6640,15,486,-8,20200603,103,1,0,0
13161,7240,11,6664,24,474,-12,20200604,102,-1,0,0
13162,7251,11,6683,19,466,-8,20200605,102,0,0,0
13163,7251,0,6683,0,466,0,20200606,102,0,0,0
13164,7255,4,6693,10,460,-6,20200607,102,0,0,0
13165,7265,10,6706,13,457,-3,20200608,102,0,0,0
13166,7265,0,6706,0,457,0,20200609,102,0,0,0
13167,7267,2,6720,14,445,-12,20200610,102,0,0,0
13168,7285,18,6761,41,422,-23,20200611,102,0,0,0
13169,7290,5,6783,22,405,-17,20200612,102,0,0,0
13170,7290,0,6783,0,405,0,20200613,102,0,0,0
13171,7320,30,6838,55,380,-25,20200614,102,0,0,0
13172,7335,15,6851,13,382,2,20200615,102,0,0,0
13173,7347,12,6856,5,389,7,20200616,102,0,0,0
13174,7347,0,6856,0,389,0,20200617,102,0,0,0
13175,7391,44,6877,21,412,23,20200618,102,0,0,0
13176,7409,18,6880,3,427,15,20200619,102,0,0,0
13177,7409,0,6880,0,427,0,20200620,102,0,0,0
13178,7461,52,6896,16,463,36,20200621,102,0,0,0
13179,7474,13,6903,7,469,6,20200622,102,0,0,0
13180,7492,18,6915,12,475,6,20200623,102,0,0,0
13181,7521,29,6924,9,494,19,20200624,103,1,0,0
13182,7558,37,6942,18,512,18,20200625,104,1,0,0
13183,7595,37,6942,0,549,37,20200626,104,0,0,0
13184,7641,46,6979,37,558,9,20200627,104,0,0,0
13185,7641,0,6979,0,558,0,20200628,104,0,0,0
13186,7686,45,6993,14,589,31,20200629,104,0,0,0
13187,7767,81,7008,15,655,66,20200630,104,0,0,0
13188,7920,153,7063,55,753,98,20200701,104,0,0,0
13189,7920,0,7063,0,753,0,20200702,104,0,0,0
